Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
544,0.0571591,0,0
545,0.0554046,0,0
546,0.0561779,0,0
547,0.0556834,0,0
548,0.0555176,0,0
549,0.0553738,0,0
550,0.0592132,0.0047306,0.0213772
551,0.0561411,0,0
552,0.0555815,0,0
553,0.0559788,0,0
554,0.0565691,0,0
555,0.056511,0,0
556,0.0553876,0,0
557,0.0554957,0,0
558,0.0569632,0,0
559,0.0554363,0,0
560,0.0606177,0.0039913,0.0200815
561,0.0578704,0,0
562,0.0557554,0,0
563,0.0555275,0,0
564,0.0555093,0,0
565,0.0553796,0,0
566,0.0565145,0,0
567,0.0554278,0,0
568,0.0555322,0,0
569,0.055712,0,0
570,0.060216,0.0039638,0.0206073
571,0.0566608,0,0
572,0.0553662,0,0
573,0.0564859,0,0
574,0.0552696,0,0
575,0.0584498,0,0
576,0.0560525,0,0
577,0.054965,0,0
578,0.0570722,0,0
579,0.0557916,0,0
580,0.0606687,0.0041534,0.0203827
581,0.0567156,0,0
582,0.055509,0,0
583,0.0554354,0,0
584,0.0556702,0,0
585,0.0559519,0,0
586,0.0553292,0,0
587,0.0559339,0,0
588,0.0569753,0,0
589,0.0558395,0,0
590,0.0591709,0.0061116,0.0215069
591,0.0558725,0,0
592,0.0555218,0,0
593,0.0553554,0,0
594,0.0557273,0,0
595,0.0575148,0,0
596,0.0561367,0,0
597,0.0553926,0,0
598,0.0553842,0,0
599,0.055213,0,0
600,0.0593927,0.0040981,0.0201875
601,0.055875,0,0
602,0.055791,0,0
603,0.0557273,0,0
604,0.0558981,0,0
605,0.0576227,0,0
606,0.0561333,0,0
607,0.0554008,0,0
608,0.0556791,0,0
609,0.0587974,0,0
610,0.059296,0.0054882,0.0203577
611,0.0563043,0,0
612,0.0551981,0,0
613,0.0564293,0,0
614,0.0569116,0,0
615,0.0555332,0,0
616,0.0556422,0,0
617,0.0565988,0,0
618,0.0556035,0,0
619,0.0556372,0,0
620,0.0624541,0.0041648,0.0198586
621,0.0560277,0,0
622,0.0559806,0,0
623,0.0555626,0,0
624,0.0553767,0,0
625,0.0549966,0,0
626,0.0553347,0,0
627,0.0555423,0,0
628,0.0555888,0,0
629,0.057005,0,0
630,0.0605312,0.0041173,0.0206815
631,0.0597327,0,0
632,0.0555289,0,0
